iter	RMSE
0	15.40588319
1	15.3765728
2	15.34748519
3	15.30776712
4	15.27605003
5	15.22870461
6	15.19503128
7	15.1686941
8	15.12083233
9	15.08602885
10	15.0408679
11	15.00366874
12	14.96066216
13	14.92643066
14	14.87976033
15	14.84296368
16	14.8067242
17	14.77084066
18	14.71963877
19	14.68152037
20	14.65730936
21	14.62248938
22	14.58314955
23	14.54667866
24	14.51213976
25	14.47161923
26	14.43565836
27	14.40259487
28	14.35617887
29	14.32234905
30	14.2898222
31	14.25475304
32	14.21571973
33	14.18444146
34	14.15165561
35	14.11759672
36	14.08547648
37	14.05673311
38	14.02129296
39	13.97674548
40	13.94354179
41	13.91081554
42	13.87097035
43	13.83420167
44	13.79507929
45	13.76463797
46	13.73455213
47	13.69931436
48	13.66915936
49	13.63496525
50	13.60184777
51	13.56813863
52	13.5305875
53	13.50292019
54	13.47911887
55	13.45764492
56	13.43718138
57	13.41338889
58	13.38837571
59	13.35250621
60	13.32371149
61	13.28931579
62	13.26707773
63	13.23807014
64	13.21881194
65	13.18683284
66	13.1500269
67	13.12507349
68	13.10047499
69	13.06982319
70	13.04121518
71	13.01426285
72	12.98837255
73	12.96242514
74	12.92499522
75	12.90073707
76	12.87131163
77	12.84366088
78	12.814285
79	12.78858448
80	12.7612464
81	12.7395271
82	12.7209996
83	12.69159722
84	12.66440197
85	12.62799694
86	12.60281909
87	12.57635237
88	12.55384821
89	12.52610915
90	12.49799778
91	12.46138258
92	12.43487534
93	12.41726204
94	12.38813859
95	12.36943827
96	12.34296457
97	12.31728173
98	12.29546455
99	12.26586559
100	12.23922151
101	12.22134397
102	12.20133146
103	12.17788306
104	12.15070725
105	12.130881
106	12.10233799
107	12.08364068
108	12.06518083
109	12.04318339
110	12.02695961
111	12.00345029
112	11.97993725
113	11.94348151
114	11.92198866
115	11.88997628
116	11.86258153
117	11.84210891
118	11.82358006
119	11.80228003
120	11.78026805
121	11.76353851
122	11.74152968
123	11.72869665
124	11.71326695
125	11.6992323
126	11.6807098
127	11.66555603
128	11.64629691
129	11.62222811
130	11.59886627
131	11.5724594
132	11.55968275
133	11.53886347
134	11.52076592
135	11.50795435
136	11.4902852
137	11.46871653
138	11.45571868
139	11.43732556
140	11.42044131
141	11.40343189
142	11.37987726
143	11.35819674
144	11.33570357
145	11.31225198
146	11.2939145
147	11.2765926
148	11.26374239
149	11.25163718
150	11.23042972
151	11.21825692
152	11.20402337
153	11.18722946
154	11.17009012
155	11.155034
156	11.14376678
157	11.12605734
158	11.10708803
159	11.09105486
160	11.07394241
161	11.05346978
162	11.03098371
163	11.01349951
164	11.00353921
165	10.98956642
166	10.97455144
167	10.96139835
168	10.94965687
169	10.93311085
170	10.91664959
171	10.90179193
172	10.89141464
173	10.87400146
174	10.8621893
175	10.85260932
176	10.83713508
177	10.82141745
178	10.80440548
179	10.79090869
180	10.77189905
181	10.75440372
182	10.73783368
183	10.7173151
184	10.69545615
185	10.68658668
186	10.67491723
187	10.65717325
188	10.64408217
189	10.63133809
190	10.61367067
191	10.5989193
192	10.58186296
193	10.56232793
194	10.54451306
195	10.53032724
196	10.51071565
197	10.49462116
198	10.48380972
199	10.46946785
