iter	Passed	Remaining
0	0	152
1	1	139
2	2	135
3	2	134
4	3	128
5	3	124
6	4	125
7	5	122
8	5	122
9	6	121
10	6	118
11	7	122
12	8	122
13	9	120
14	9	118
15	10	116
16	10	115
17	11	113
18	11	111
19	12	110
20	12	108
21	13	107
22	13	105
23	14	104
24	14	103
25	15	103
26	16	104
27	16	103
28	17	102
29	17	101
30	18	100
31	18	99
32	19	98
33	19	97
34	20	96
35	20	95
36	21	94
37	22	93
38	22	92
39	23	92
40	23	91
41	24	92
42	25	91
43	25	91
44	26	90
45	26	89
46	27	88
47	27	88
48	28	87
49	28	86
50	29	85
51	29	84
52	30	84
53	30	83
54	31	82
55	31	81
56	32	81
57	33	81
58	34	81
59	35	82
60	35	81
61	36	81
62	36	80
63	37	79
64	38	79
65	38	78
66	39	77
67	39	76
68	40	76
69	40	75
70	41	74
71	41	74
72	42	74
73	43	73
74	43	73
75	44	72
76	44	71
77	45	71
78	46	70
79	46	69
80	47	69
81	47	68
82	48	67
83	48	67
84	49	66
85	49	65
86	50	65
87	51	65
88	52	65
89	52	64
90	53	64
91	54	63
92	55	63
93	55	62
94	56	62
95	56	61
96	57	60
97	57	60
98	59	60
99	59	59
100	60	59
101	61	58
102	61	58
103	62	57
104	62	56
105	63	56
106	63	55
107	64	54
108	65	54
109	65	53
110	66	53
111	66	52
112	67	51
113	68	51
114	68	50
115	69	50
116	70	49
117	70	49
118	71	48
119	71	47
120	72	47
121	72	46
122	73	45
123	73	45
124	74	44
125	74	43
126	75	43
127	76	43
128	77	42
129	77	41
130	78	41
131	78	40
132	79	39
133	79	39
134	80	38
135	80	38
136	81	37
137	81	36
138	82	36
139	83	35
140	83	34
141	84	34
142	85	33
143	85	33
144	86	32
145	87	32
146	87	31
147	88	31
148	88	30
149	89	29
150	89	29
151	90	28
152	90	27
153	91	27
154	92	26
155	93	26
156	93	25
157	94	25
158	94	24
159	95	23
160	95	23
161	96	22
162	96	22
163	97	21
164	97	20
165	98	20
166	99	19
167	99	18
168	100	18
169	100	17
170	101	17
171	102	16
172	102	16
173	103	15
174	103	14
175	104	14
176	104	13
177	105	13
178	105	12
179	106	11
180	106	11
181	107	10
182	107	10
183	108	9
184	108	8
185	110	8
186	110	7
187	111	7
188	111	6
189	112	5
190	112	5
191	113	4
192	114	4
193	114	3
194	115	2
195	115	2
196	115	1
197	116	1
198	117	0
199	117	0
