Id;Length
0001;900401
0002;1938301
0003;1801101
0004;903401
0005;910401
0006;920744
0007;1229700
0008;1222101
0009;919560
0010;603901
0011;601501
0013;915607
0014;1797601
0015;897231
0016;900901
0017;604801
0018;1195001
0019;919719
0020;1195001
0021;905701
0022;922431
0023;1226975
0024;1228526
0026;1222301
0027;903801
0028;1800601
0029;1195001
0030;1800301
0032;1800701
0033;635972
0035;900501
0036;612512
0037;900401
0038;1244500
0039;614849
0040;921449
0041;904301
0042;1195001
0043;903901
0044;1208801
0045;1262100
0046;1195001
0047;943401
0048;1797801
0049;1798001
0050;1214832
0052;885547
0053;1921200
0055;1195001
0056;955843
0057;1199344
0058;640301
0059;620401
0060;1802500
0061;1801201
0062;1203901
0063;1012696
0064;900801
0065;1206947
0066;901301
0067;1057346
0068;902801
0069;660165
0070;921574
0071;1799201
0072;899401
0073;916414
0074;600801
0075;1200388
0076;905701
0077;906401
0078;918642
0079;1345082
0080;901909
0081;1200401
0082;1207700
0083;1804000
0084;610401
0085;685076
0086;900455
0087;900700
0088;657405
0089;1179501
0090;1195001
0091;900700
0093;903101
0094;630401
0095;911158
0096;1009401
0097;638480
0099;600901
0100;1208878
0101;1798701
0103;994757
0104;934946
0105;900186
0106;1221001
0107;1195001
0108;898239
0109;1300583
0111;1224700
0112;900501
0113;900201
0114;1942600
0115;1799201
0116;900301
0117;946140
0118;1212601
0119;1204775
0120;919789
0122;915650
0123;901300
0124;1800401
0125;902037
0126;896529
0127;909219
0128;1195001
0129;1798201
0130;900201
0131;900365
0132;1217601
0133;1212300
0134;911301
0135;1213473
0136;1195001
0137;902201
0138;607173
0139;901431
0140;900402
0141;899376
0142;921515
0144;901501
0145;688275
0146;900601
0147;922701
0148;899491
0149;1212800
0150;900800
0151;898368
0152;898900
0153;900801
0154;1800401
0155;1966700
0156;1797701
0157;1195001
0158;1800801
0159;1798201
0160;889601
0161;905905
0162;1265000
0163;1766400
0164;1797501
0165;888065
0166;1019501
0168;900623
0169;902978
0170;603601
0171;901011
0173;898024
0174;1945400
0175;1798701
0176;903933
0177;1213800
0178;1195001
0179;919327
0180;1330286
0181;921849
0182;1195001
0183;1800301
0184;903001
0185;900041
0186;1801600
0187;901700
0188;903501
0189;1221600
0190;1282800
0191;1798601
0192;900301
0193;1800301
0194;900001
0195;903901
0196;897887
0197;600701
0198;912531
0199;906068
0200;920655
0201;1250114
0202;895947
0203;1195001
