id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1;k2;b2;D2;p-value linear 2;R_score2;AIC_linear2;kef x^2 (2);kef x (2);kef 1 (2);p-value quadr 2;R_score quadr 2;AIC_quadr2;k3;b3;D3;p-value linear 3;R_score3;AIC_linear3;kef x^2 (3);kef x (3);kef 1 (3);p-value quadr 3;R_score quadr 3;AIC_quadr3;k4;b4;D4;p-value linear 4;R_score4;AIC_linear4;kef x^2 (4);kef x (4);kef 1 (4);p-value quadr 4;R_score quadr 4;AIC_quadr4;;Average linear R_score;Average quadr R_score;AIC linear;AIC quadrio
1;-1,831;14,287;1,831;0;0,993;91,497;-0,039;-1,209;12,393;0;0,999;16,266;-1,828;14,231;1,828;0;0,993;91,371;-0,039;-1,208;12,346;0;0,999;17,5;-1,83;14,229;1,83;0;0,993;90,971;-0,038;-1,216;12,36;0;0,999;18,619;-1,834;14,255;1,834;0;0,993;90,937;-0,038;-1,221;12,39;0;0,998;19,323;;0,993;0,99875;91,194;17,927
2;-1,819;13,976;1,819;0;0,993;93,447;-0,04;-1,18;12,03;0;0,999;15,748;-1,821;13,992;1,821;0;0,992;94,245;-0,041;-1,174;12,022;0;0,999;14,778;-1,824;13,969;1,824;0;0,993;93,628;-0,04;-1,19;12,041;0;0,998;20,002;-1,824;13,948;1,824;0;0,993;93,263;-0,039;-1,197;12,038;0;0,998;21,67;;0,99275;0,9985;93,64575;18,0495
3;-1,837;13,638;1,837;0;0,991;105,115;-0,037;-1,243;11,828;0;0,996;68,773;-1,84;13,65;1,84;0;0,991;104,9;-0,038;-1,233;11,802;0;0,996;65,697;-1,836;13,625;1,836;0;0,991;103,798;-0,037;-1,242;11,818;0;0,996;66,014;-1,844;13,677;1,844;0;0,99;107,524;-0,04;-1,212;11,752;0;0,996;66,518;;0,99075;0,996;105,33425;66,7505
4;-1,808;14,082;1,808;0;0,991;99,245;-0,043;-1,124;12,002;0;0,998;18,706;-1,805;14,074;1,805;0;0,992;98,847;-0,043;-1,124;12,002;0;0,998;18,258;-1,802;14,056;1,802;0;0,992;98,52;-0,042;-1,124;11,991;0;0,998;17,81;-1,802;14,036;1,802;0;0,992;98,13;-0,042;-1,124;11,972;0;0,999;15,899;;0,99175;0,99825;98,6855;17,66825
5;-1,8;13,959;1,8;0;0,991;103,202;-0,045;-1,085;11,784;0;0,998;21,122;-1,801;13,959;1,801;0;0,991;102,927;-0,045;-1,084;11,778;0;0,998;18,1;-1,8;13,955;1,8;0;0,991;103;-0,045;-1,086;11,782;0;0,998;20,378;-1,801;13,966;1,801;0;0,991;103,872;-0,045;-1,079;11,77;0;0,998;20,458;;0,991;0,998;103,25025;20,0145
6;-1,812;14,155;1,812;0;0,992;96,719;-0,041;-1,153;12,151;0;0,998;20,737;-1,811;14,157;1,811;0;0,992;97,397;-0,042;-1,147;12,134;0;0,998;20,288;-1,809;14,151;1,809;0;0,992;97,066;-0,041;-1,147;12,136;0;0,998;20,288;-1,81;14,145;1,81;0;0,992;97,134;-0,042;-1,143;12,115;0;0,999;17,676;;0,992;0,99825;97,079;19,74725
7;-1,835;14,851;1,835;0;0,993;91,255;-0,039;-1,217;12,971;0;0,999;17,801;-1,836;14,873;1,836;0;0,993;91,314;-0,039;-1,22;12,996;0;0,999;18,72;-1,837;14,882;1,837;0;0,993;90,798;-0,038;-1,223;13,013;0;0,999;18,003;-1,832;14,846;1,832;0;0,993;91,881;-0,039;-1,207;12,944;0;0,999;16,485;;0,993;0,999;91,312;17,75225
8;-1,782;14,166;1,782;0;0,99;104,103;-0,046;-1,05;11,936;0;0,999;14,107;-1,783;14,164;1,783;0;0,99;104,298;-0,046;-1,047;11,926;0;0,999;13,555;-1,785;14,164;1,785;0;0,99;104,385;-0,046;-1,049;11,923;0;0,999;13,335;-1,787;14,153;1,787;0;0,99;104,388;-0,046;-1,054;11,922;0;0,999;15,939;;0,99;0,999;104,2935;14,234
9;-1,805;13,731;1,805;0;0,991;101,781;-0,044;-1,106;11,602;0;0,998;22,729;-1,806;13,752;1,806;0;0,991;102,315;-0,044;-1,101;11,605;0;0,998;21,945;-1,805;13,736;1,805;0;0,991;101,772;-0,044;-1,105;11,605;0;0,998;22,133;-1,803;13,714;1,803;0;0,991;101,303;-0,044;-1,107;11,593;0;0,998;21,716;;0,991;0,998;101,79275;22,13075
10;-1,812;14,034;1,812;0;0,991;101,838;-0,044;-1,117;11,917;0;0,998;25,192;-1,812;14,032;1,812;0;0,991;101,804;-0,043;-1,123;11,935;0;0,998;28,7;-1,812;14,018;1,812;0;0,991;101,026;-0,043;-1,126;11,93;0;0,998;26,441;-1,812;13,988;1,812;0;0,991;100,658;-0,043;-1,124;11,894;0;0,998;23,412;;0,991;0,998;101,3315;25,93625
11;-1,812;14,189;1,812;0;0,992;98,306;-0,042;-1,144;12,154;0;0,998;22,696;-1,812;14,188;1,812;0;0,992;98,45;-0,042;-1,14;12,142;0;0,998;21,364;-1,811;14,192;1,811;0;0,992;98,562;-0,042;-1,141;12,154;0;0,998;23,438;-1,813;14,191;1,813;0;0,991;99,67;-0,042;-1,134;12,126;0;0,998;23,928;;0,99175;0,998;98,747;22,8565
13;-1,818;13,734;1,818;0;0,991;100,498;-0,042;-1,148;11,696;0;0,998;32,359;-1,818;13,745;1,818;0;0,991;100,611;-0,042;-1,143;11,689;0;0,998;30,056;-1,818;13,741;1,818;0;0,991;100,473;-0,042;-1,145;11,693;0;0,998;30,815;-1,82;13,744;1,82;0;0,991;101,243;-0,043;-1,141;11,677;0;0,998;31,116;;0,991;0,998;100,70625;31,0865
14;-1,787;14,249;1,787;0;0,99;104,165;-0,046;-1,055;12,021;0;0,999;15,24;-1,784;14,206;1,784;0;0,99;105,928;-0,047;-1,035;11,926;0;0,999;14,392;-1,783;14,191;1,783;0;0,99;106,354;-0,047;-1,036;11,916;0;0,998;18,526;-1,783;14,183;1,783;0;0,99;106,113;-0,046;-1,046;11,938;0;0,998;23,528;;0,99;0,9985;105,64;17,9215
15;-1,806;13,955;1,806;0;0,99;104,975;-0,045;-1,087;11,767;0;0,998;28,09;-1,806;13,949;1,806;0;0,99;104,635;-0,045;-1,093;11,778;0;0,998;29,631;-1,806;13,957;1,806;0;0,99;104,795;-0,045;-1,088;11,772;0;0,998;27,858;-1,806;13,936;1,806;0;0,99;104,841;-0,045;-1,09;11,758;0;0,998;29,376;;0,99;0,998;104,8115;28,73875
16;-1,819;14,215;1,819;0;0,992;95,302;-0,041;-1,165;12,223;0;0,999;15,741;-1,819;14,213;1,819;0;0,992;95,4;-0,041;-1,165;12,221;0;0,999;16,234;-1,817;14,197;1,817;0;0,992;95,61;-0,041;-1,161;12,202;0;0,999;16,896;-1,818;14,199;1,818;0;0,992;96,124;-0,042;-1,154;12,179;0;0,999;14,144;;0,992;0,999;95,609;15,75375
17;-1,842;14,012;1,842;0;0,993;89,53;-0,038;-1,238;12,173;0;0,999;17,488;-1,839;14,028;1,839;0;0,993;89,798;-0,038;-1,232;12,179;0;0,999;17,108;-1,836;14,026;1,836;0;0,993;89,507;-0,038;-1,232;12,188;0;0,999;17,572;-1,836;14,005;1,836;0;0,993;90,076;-0,038;-1,235;12,177;0;0,998;22,101;;0,993;0,99875;89,72775;18,56725
18;-1,818;14,241;1,818;0;0,992;96,044;-0,041;-1,159;12,236;0;0,999;16,973;-1,818;14,24;1,818;0;0,992;95,99;-0,041;-1,157;12,23;0;0,999;15,584;-1,818;14,221;1,818;0;0,992;95,483;-0,041;-1,161;12,222;0;0,999;15,299;-1,822;14,23;1,822;0;0,992;96,105;-0,041;-1,159;12,212;0;0,999;14,602;;0,992;0,999;95,9055;15,6145
19;-1,808;14,004;1,808;0;0,991;100,994;-0,044;-1,113;11,888;0;0,998;20,955;-1,807;13,999;1,807;0;0,991;100,641;-0,043;-1,114;11,892;0;0,998;20,713;-1,805;14,005;1,805;0;0,991;100,702;-0,043;-1,114;11,901;0;0,998;21,718;-1,806;14,005;1,806;0;0,991;100,789;-0,043;-1,113;11,895;0;0,998;21,099;;0,991;0,998;100,7815;21,12125
20;-1,789;14,011;1,789;0;0,99;106,741;-0,046;-1,056;11,782;0;0,998;29,897;-1,791;14,035;1,791;0;0,99;108,071;-0,047;-1,039;11,744;0;0,998;25,461;-1,793;14,044;1,793;0;0,989;108,718;-0,047;-1,037;11,742;0;0,998;27,002;-1,794;14,032;1,794;0;0,99;108,491;-0,047;-1,037;11,729;0;0,998;25,551;;0,98975;0,998;108,00525;26,97775
21;-1,812;14,484;1,812;0;0,992;97,232;-0,042;-1,144;12,452;0;0,999;17,671;-1,816;14,449;1,816;0;0,992;95,829;-0,041;-1,16;12,451;0;0,999;17,216;-1,816;14,44;1,816;0;0,992;96,758;-0,042;-1,15;12,413;0;0,999;16,216;-1,815;14,462;1,815;0;0,992;96,726;-0,041;-1,153;12,444;0;0,999;18,021;;0,992;0,999;96,63625;17,281
22;-1,811;13,877;1,811;0;0,991;100,91;-0,042;-1,138;11,828;0;0,998;32,469;-1,812;13,869;1,812;0;0,991;101,625;-0,043;-1,122;11,767;0;0,998;26,984;-1,811;13,851;1,811;0;0,991;101,551;-0,043;-1,12;11,746;0;0,998;26,044;-1,812;13,846;1,812;0;0,991;101,813;-0,044;-1,114;11,723;0;0,998;23,886;;0,991;0,998;101,47475;27,34575
